"","Country Name","Country Code","CoC_est","Gov_Eff_est","Pol_Sta_est","Reg_Qua_est","Rule_Law_est","Voice_Act_est","GDP_current","Region_fh","PR_fh","CL_fh","Total_fh","hdi","le","gni_pc","coef_ineq","gii"
"75","Iceland","ISL",1.77971946001053,1.47377022504806,1.35411397218704,1.33447562456131,1.66187926530838,1.37664337158203,22319981852.4112,"Europe",38.2,58.5,96.7,0.9529,82.4701,52545.764656,5.2889294665,0.0545
"76","India","IND",-0.347164298593998,0.119285598769784,-0.881267327070236,-0.259252576902509,-0.0388087479397655,0.299878983944655,2572279146489.86,"Asia",34.4,39.7,74.1,0.6285,69.4508,5930.4313383,32.146385434,0.493
"77","Indonesia","IDN",-0.465416973829269,0.067443547770381,-0.49281314611435,0.0423579324036837,-0.342173907160759,0.135829339176416,1033772115631.68,"Asia",30.2,32.6,62.8,0.7046,69.3714,10645.5283637,18.7861811,0.4611
"78","Iran","IRN",-0.893905133008957,-0.57223004102707,-1.27209658026695,-1.43039294481278,-0.873933416604996,-1.44655879735947,393162310502.459,"Middle East",6.5,10.2,16.7,0.7825,75.1487,14510.148793,24.601713677,0.4922
"79","Iraq","IRQ",-1.36678848266602,-1.22570967674255,-2.38050699234009,-1.13250704407692,-1.69637942314148,-1.02745132446289,209744901644.203,"Middle East",14,13.9,27.9,0.6635,69.9935,9477.2800944,23.715204366,0.571
"80","Ireland","IRL",1.6013708114624,1.43084410429001,0.933799630403518,1.6314990401268,1.52826510667801,1.34054856300354,368672650859.834,"Europe",39,57.7,96.7,0.9337,81.8687,63962.925148,7.2219522866,0.0904
"81","Israel","ISR",0.82870444059372,1.24653549194336,-0.996218633651733,1.23419361114502,0.999943190813064,0.689559811353683,380178403806.942,"Middle East",35.1,43.6,78.7,0.9051,82.4494,39388.085985,11.425128106,0.0982
"82","Italy","ITA",0.236742665618658,0.453190350532532,0.403615948557854,0.670206779241562,0.309391808509827,1.00924503207207,2018523303143.61,"Europe",36,53.2,89.2,0.8908,82.9909,41517.537354,12.145646144,0.0671
"83","Jamaica","JAM",-0.181347613781691,0.429565780609846,0.255499032139778,0.10627187890932,-0.208920936286449,0.612775909900665,14836776977.887,"Americas",33.9,42.5,76.4,0.7102,71.9277,9539.8256495,16.47276117,0.3839
"84","Japan","JPN",1.51918613910675,1.6251965880394,1.02826632857323,1.30350612401962,1.49976241588593,1.01128312945366,4899426166633.1,"Asia",39.3,55.1,94.4,0.9154,84.2236,42394.042709,8.0793849935,0.0993
"85","Jordan","JOR",0.12662300337106,0.107493839133531,-0.421856206655502,0.111434946022928,0.26930225789547,-0.749894124269486,41791363121.726,"Middle East",11.3,24.3,35.6,0.7395,75.0552,9776.7695105,16.831078659,0.4573
"86","Kazakhstan","KAZ",-0.589907303452492,-0.0748579118400813,-0.144544347771444,-0.0337578454986215,-0.530418068170548,-1.18477692604065,190122084331.452,"Eurasia",5.4,18,23.4,0.8004,70.5088,22357.237396,8.76341814,0.2005
"87","Kenya","KEN",-0.893679827451706,-0.398062744736671,-1.14415773153305,-0.364275771379471,-0.473352259397507,-0.24170783534646,87329192788.7106,"Africa",20.4,29.7,50.1,0.5881,62.1517,4210.1343037,29.865316933,0.5458
"88","Kiribati","KIR",0.291737407818437,-0.179850740358233,1.01511328220367,-0.698129183053971,0.477943187206984,1.03081864714623,189995182.587831,"Asia",36.7,55.4,92.1,0.6233,66.674,3610.8992055,17.0573936,NA
"89","Kosovo","XKX",-0.479762789607048,-0.352598267793655,-0.370711068063974,-0.261774650961161,-0.414239403605461,-0.142185924947262,7628616408.78994,"Europe",22.5,28.8,51.3,NA,NA,NA,NA,NA
"90","Kuwait","KWT",-0.185097830742598,-0.104325951822102,0.102281979843974,0.0123032801784575,0.165697314031422,-0.654362833499909,137458830874.712,"Middle East",14,23.1,37.1,0.8308,79.2917,57496.704529,NA,0.2517
"91","Kyrgyzstan","KGZ",-1.10772724151611,-0.783501589298248,-0.587944611907005,-0.457509994506836,-1.01020443439484,-0.495129832625389,8270329810.26058,"Eurasia",11.3,24.7,36,0.6927,70.2011,4664.2801274,10.3500542036,0.3625
"92","Latvia","LVA",0.494980955123901,0.914879804849625,0.487566187977791,1.13762493133545,0.892475688457489,0.845411866903305,33084281156.1321,"Europe",35.2,51.4,86.6,0.8628,74.8353,28691.379832,8.9716045367,0.1861
"93","Lebanon","LBN",-1.07411906719208,-0.736547595262527,-1.61949883699417,-0.533091352134943,-0.861211174726486,-0.522624260187149,45603465802.3841,"Middle East",13.9,30.6,44.5,0.7506,78.2358,15785.489373,NA,0.4152
"94","Lesotho","LSO",-0.0713285736739636,-0.825650358200073,-0.197065317630768,-0.532880815863609,-0.328826747834683,0.040463853534311,2317687136.85187,"Africa",28.2,38,66.2,0.5168,52.4161,2857.2693311,37.442149899,0.5673
"95","Liberia","LBR",-0.815674614906311,-1.37799248695374,-0.410613703727722,-0.964853370189668,-0.939927381277084,-0.116808778420091,3371142957,"Africa",26.9,33.3,60.2,0.48,60.3933,1378.3089188,37.032084066,0.6614
"96","Libya","LBY",-1.54746364355087,-1.65072319507599,-2.2984775185585,-2.12494864463806,-1.64896612167358,-1.35121037960053,57680967454.188,"Africa",6.5,12,18.5,0.7521,72.1578,21239.356781,NA,0.2679
"97","Liechtenstein","LIE",1.91214866638184,1.65337110757828,1.51661787033081,1.50469324588776,1.66574529409408,1.32850849628449,6586077701.45944,"Europe",35.4,57.9,93.3,0.9308,83.19,129412.41377,NA,NA
"98","Lithuania","LTU",0.623520669341087,0.998667722940444,0.792115342617035,1.17597395181656,0.969948941469192,0.985768520832062,53059696953.1001,"Europe",37.8,52.7,90.5,0.8737,74.9057,33283.369113,9.67906127,0.1239
"99","Luxembourg","LUX",2.00978074073791,1.69418246746063,1.30070834159851,1.74462443590164,1.77430419921875,1.53182861804962,70382488400.3583,"Europe",38.3,59.8,98.1,0.9224,81.9324,78740.132862,9.0796864767,0.0587
"100","Madagascar","MDG",-0.95392769575119,-1.16970043182373,-0.471750146150589,-0.769617420434952,-0.862997567653656,-0.368451036512852,13206254708.8174,"Africa",22,31.6,53.6,0.495,64.8696,1465.8901211,33.270063601,0.5748
"101","Malawi","MWI",-0.652345862984657,-0.747779148817062,-0.155559121444821,-0.78368239402771,-0.306514394283295,-0.0346204404253513,10163494223.173,"Africa",26.8,36.1,62.9,0.5034,62.4106,1427.6295111,31.526914634,0.5941
"102","Malaysia","MYS",0.209217005269602,0.964269196987153,0.153068399056792,0.655564963817596,0.473027497529984,-0.23778848128859,342534533608.261,"Asia",19.5,28.5,48,0.7973,75.4526,24823.366766,14.543875108,0.2172
"103","Maldives","MDV",-0.529703229665756,-0.233243128657341,0.352419334091246,-0.514064085483551,-0.437452152185142,-0.475963294506073,4661628507.07705,"Asia",17.6,23.9,41.5,0.7392,79.8752,16763.115134,23.676481983,0.3468
"104","Mali","MLI",-0.757645481824875,-1.06947501897812,-1.98924307823181,-0.620891404151916,-0.82752366065979,-0.422272726893425,16005730487.4441,"Africa",14.2,25.4,39.6,0.4106,58.7531,2031.2115403,33.624359968,0.6438
"105","Malta","MLT",0.570636120438576,0.939423918724061,1.06108520030975,1.08889101743698,1.01495847702026,1.13589165210724,14128307153.2721,"Europe",37.1,56.4,93.5,0.8961,83.1799,38963.590541,8.19969792,0.1744
"106","Marshall Islands","MHL",0.409990790660959,-0.414867377653718,1.00635765194893,-0.81826041340828,0.316490554914344,1.14398357868195,217579264.365234,"Asia",37.1,55,92.1,0.7049,64.3879,5991.5464119,14.962841,NA
"107","Mauritania","MRT",-0.838892489671707,-0.845744282007217,-0.657744699716568,-0.875339204072953,-0.740444844961166,-0.830763947963715,7581382403.71236,"Africa",11,21.5,32.5,0.5381,64.6986,5136.8309223,35.240377933,0.6087
"108","Mauritius","MUS",0.275067334622145,0.934217697381973,0.876544857025147,1.09379261136055,0.805760788917542,0.775969016551971,12869529069.277,"Africa",37.3,51.6,88.9,0.7933,74.6329,21615.501038,21.117058871,0.3599
"109","Mexico","MEX",-0.894438642263413,-0.0975188668817282,-0.749901407957077,0.111940101347864,-0.619604608416557,-0.034582427307032,1266885883222.34,"Americas",27.4,35.8,63.2,0.7699,73.6163,18947.067872,19.971723305,0.3683
"110","Moldova","MDA",-0.711479386687279,-0.49718969464302,-0.310804441047367,-0.0319091565674171,-0.396071730554104,-0.0175069901160896,10691878163.6355,"Eurasia",26.7,34.9,61.6,0.7578,69.6863,12128.255442,8.7371568766,0.2052
"111","Monaco","MCO",1.57645966112614,1.90704168379307,1.3033948302269,1.27552473545075,1.42015082968606,0.789297640323639,7149962974.62133,"Europe",28.1,56.8,84.9,NA,85.8765,NA,NA,NA
"112","Mongolia","MNG",-0.496512514352798,-0.362828695774078,0.69913319349289,-0.183128442452289,-0.28673359900713,0.276610100269318,13222107678.4274,"Asia",36,49.1,85.1,0.7401,70.6036,10353.2558708,13.885659327,0.319
